ref_piid,total_obligated,action_count,exact_distinct_ref_piid_all_years
W900KK18D0018,1546947181.01,1727,1430550
FA862006G4026,1546831898.92,1077,1430550
GS00Q14OADS621,1540951665.99,1031,1430550
89303321DEM000061,1535304209.97,136,1430550
N0017819D8470,1534731615.74,1465,1430550
NNS15AA01C,1527630160.14,1582,1430550
N0017804D4091,1525394296.12,4173,1430550
W91QUZ07D0005,1517979969.28,1028,1430550
DOCYA132315BU0033,1503566169.71,139,1430550
HHSN316201200011W,1502618481.55,511,1430550
FA862005G3028,1495814654.32,728,1430550
FA862016G3028,1492048197.01,465,1430550
W9128F20D0005,1474989049.82,46,1430550
GS25F0062L,1471764727.20,62016,1430550
GS35F4543G,1460120604.29,17958,1430550
HHSN316201200026W,1453539391.58,388,1430550
47QMCA22D000N,1444493645.31,28957,1430550
F3365781C0213,1444349000.00,182,1430550
DAAB0703DB012,1438015657.75,1198,1430550
47QMCA22D000Q,1431466344.74,31603,1430550
FA882320D0001,1420445686.75,155,1430550
GS35F4120D,1418759654.65,12896,1430550
N0001983C0272,1418469000.00,45,1430550
W31P4Q09A0021,1416674583.80,1547,1430550
2031JG21D00023,1416506493.60,88,1430550
GS35F4357D,1415653696.57,5183,1430550
F3365794D2001,1415476778.00,75,1430550
70CDCR20D00000011,1414139600.19,52,1430550
N6133903D0014,1413469747.94,255,1430550
FA868920D2020,1410987091.00,302,1430550
HTC71123DC023,1406977131.76,1384,1430550
F3365779C0779,1406872000.00,152,1430550
SP020003D1666,1406302536.00,14557,1430550
SP070000D3180,1405162062.55,4945,1430550
F3370078C0001,1403336000.00,88,1430550
GS00Q17NSD3006,1402213629.20,3987,1430550
HHSM500201300014I,1401808359.76,203,1430550
W56HZV18D0010,1400156361.52,496,1430550
W91QUZ06D0012,1399038368.66,1663,1430550
HTC71117DC003,1396136800.17,9072,1430550
89303324DEM000096,1393478252.06,27,1430550
HC108420A0003,1391717879.01,842,1430550
N0017804D4143,1390391605.27,4013,1430550
N0001919D0026,1380309826.69,89,1430550
EDFSA09D0015,1378870720.11,299,1430550
GS00Q14OADU313,1373168905.43,143,1430550
2031JG21D00006,1371816278.62,347,1430550
FA862021G4028,1371292119.79,218,1430550
F3365784C2014,1370657000.00,50,1430550
W91QUZ06D0016,1368193830.61,1669,1430550
SAQMMA10D0018,1367593349.46,796,1430550
FA807514D0016,1367377378.86,2879,1430550
N6134019D1006,1364908316.67,512,1430550
FA810809D0006,1363305070.53,1548,1430550
NNG15SD00B,1362537704.23,7997,1430550
SPM8EJ14D0011,1361014024.04,7091,1430550
GS00Q09BGD0060,1357491031.78,394,1430550
GS00Q09BGD0030,1353591753.06,905,1430550
FA861707D6151,1353181397.75,411,1430550
N0001919D0032,1349219092.69,134,1430550
W31P4Q18D0002,1348265963.33,2261,1430550
FA863819D0001,1345978588.64,843,1430550
VA11811D1000,1342992046.13,474,1430550
GS00Q14OADU130,1342354828.77,635,1430550
W56HZV20D0062,1340840027.16,130,1430550
HTC71117DC001,1339421414.23,2471,1430550
GS00Q14OADS742,1334169866.22,1057,1430550
GS00Q09BGD0027,1334125821.06,512,1430550
VA11816D1003,1333736692.69,427,1430550
75FCMC18D0047,1332820160.97,1027,1430550
SPE8EJ21D0022,1325372486.39,5664,1430550
EDFSA09D0014,1325034182.13,377,1430550
NNG15SC65B,1323555855.16,3845,1430550
FA865621DA004,1322277567.03,121,1430550
FA877104D0004,1320692325.74,2380,1430550
F3365785C2086,1316611000.00,45,1430550
DAAE0700DM051,1313039337.54,993,1430550
W58RGZ23D0011,1307684704.14,35,1430550
FA807514D0014,1307592521.96,1620,1430550
FA860918G0002,1305571332.00,30,1430550
DAAE0700DS022,1305166512.75,217,1430550
W9113M07D0006,1303071874.95,509,1430550
SP060013D0453,1300265002.39,1,1430550
EDFSA09D0012,1299917742.22,392,1430550
N0038321DZN01,1299256749.14,15,1430550
N6247019D8025,1296979798.99,243,1430550
47QTCK18D0030,1296904746.11,236,1430550
GS00T99ALD0202,1296619684.61,722,1430550
36C10X19D0006,1290855508.99,40,1430550
FA854019D0001,1284052742.91,469,1430550
GS35F4460G,1280396364.05,5830,1430550
SPE8EJ20D0012,1276066985.75,5001,1430550
W911SE07D0004,1275940387.09,327,1430550
W58RGZ04G0023,1270671777.07,1304,1430550
HC101909D2000,1269209280.48,5601,1430550
N0002481C2134,1267855000.00,223,1430550
W15QKN18D0015,1263911122.19,81,1430550
GS00Q14OADU116,1262357535.71,541,1430550
W56HZV08DG097,1261971111.99,111,1430550
GS00Q14OADU317,1256626977.16,184,1430550
SAQMMA16D0136,1255249613.94,545,1430550
USZA2203D0006,1250512354.85,9588,1430550
N0001985C0145,1250095000.00,16,1430550
GS00Q14OADU117,1248199219.16,226,1430550
36C10G21D0001,1247876599.80,81,1430550
NNG15SD11B,1247218303.51,6536,1430550
GS35F5151H,1244864766.16,928,1430550
N0017804D4079,1242739459.36,2819,1430550
GS00Q09BGD0059,1238199847.71,481,1430550
W56HZV19D0054,1234928200.01,92,1430550
VA79113D0013,1230257366.72,20,1430550
GS00Q09BGD0018,1228277441.35,612,1430550
VA119A16D0038,1227950320.80,49,1430550
SAQMMA10D0104,1227763238.97,156,1430550
47QTCK18D0031,1226069665.39,294,1430550
SPM30008D3194,1224944893.93,3357,1430550
HQ014718D0002,1222930889.67,379,1430550
W52P1J11G0002,1222446116.81,406,1430550
GS30FK0002,1221440146.82,24363,1430550
N0002485C2062,1221142000.00,60,1430550
GS00Q14OADU141,1220722488.73,411,1430550
SPE2DX22D0089,1219321473.51,9968,1430550
W91QUZ07D0011,1218141864.98,10647,1430550
GS35F0312U,1215365606.38,948,1430550
FA862011G4026,1215247695.03,771,1430550
GS30FR0006,1215014436.61,38489,1430550
NNG15SC27B,1214091073.30,2343,1430550
GS00F008DA,1213530216.91,1340,1430550
N0002486C2076,1205798000.00,67,1430550
GS00F0026M,1205340609.55,3747,1430550
NNG15SD60B,1205021307.04,7392,1430550
SPE4AX16D9008,1202880843.72,1156177,1430550
GS00K89AHD0009,1201666000.00,14,1430550
500990016,1200351000.00,3,1430550
GS35F386DA,1198379613.61,604,1430550
HQ014718D0004,1197811522.23,1459,1430550
N0038322GYY01,1197622758.56,951,1430550
W91QUZ06A0003,1195971936.55,1850,1430550
TMG5002,1195163000.00,649,1430550
FA812423D0002,1185324300.92,158,1430550
HSHQDC16D00001,1184028228.90,1132,1430550
GS35F540GA,1183202275.93,596,1430550
HSTS0516DSPP906,1179982099.54,105,1430550
GS09K99BHD0010,1179317012.50,2124,1430550
N0001924G0010,1175929222.30,97,1430550
W15P7T10DD413,1172996116.85,1561,1430550
DAAB0703DB013,1171196543.56,1120,1430550
HSBP1006D01353,1170776089.32,311,1430550
GS35F4338D,1169954512.77,2107,1430550
HHSM500200700001I,1169327513.33,82,1430550
FA850417D0002,1166404499.08,266,1430550
GS00F275CA,1166266335.84,1160,1430550
DJJ11C2131,1164407995.36,7224,1430550
W91QUZ07D0010,1161802133.62,9912,1430550
GS35F4663G,1159358836.29,13818,1430550
NNG15SC92B,1155684395.94,2841,1430550
SPE4AX17D9006,1154327906.61,92,1430550
SPE7LX19D0029,1153380320.18,215393,1430550
F0470102D0006,1150193992.83,1075,1430550
VA797H17D0024,1149329615.95,5973,1430550
GS35F4797H,1148391192.18,2265,1430550
70B01C23D00000008,1147140316.44,17,1430550
FA862618D0029,1144747715.48,82,1430550
NNG15SD72B,1142089142.84,3017,1430550
NNG07DA41B,1141457644.40,6417,1430550
F3460197D0423,1140805424.55,3244,1430550
W9126G19D0027,1140089537.89,15,1430550
FA810516D0003,1139664069.72,1271,1430550
DAAB0701DM001,1137138309.50,452,1430550
GS00Q14OADS417,1137137219.71,288,1430550
GS30FK0003,1134905917.68,23863,1430550
SPM30008D3155,1129589163.27,18161,1430550
47QSWA18D008F,1129299471.71,2060,1430550
DAAB0703DB006,1128562036.25,2825,1430550
DOC50PAPT0410001,1127191760.90,231,1430550
F6256257D0001,1126491914.00,109,1430550
FA877104D0003,1126147550.74,5131,1430550
W56HZV09D0111,1125761452.66,634,1430550
W56HZV13D0008,1124951307.00,488,1430550
FA810817D0016,1118574636.66,434,1430550
GS00T99ALD0203,1117918313.46,1001,1430550
FA870215D0002,1116705172.96,896,1430550
36C79119D0036,1112692713.25,156,1430550
GS35F0617Y,1111957187.92,1134,1430550
HSHQDC06D00026,1110582763.51,834,1430550
N0001986C0326,1103231000.00,12,1430550
DCA20087H0024,1103227708.00,5995,1430550
36C10X22D0007,1102790127.76,18,1430550
V797P6011B,1102099930.13,6335,1430550
GS00Q14OADS723,1096258149.12,1315,1430550
2031JG18D00001,1095936184.05,389,1430550
F3365784C2047,1093929000.00,18,1430550
HQ003419D0001,1093510867.58,339,1430550
W31P4Q24D0019,1087821955.41,30,1430550
FA824015D2780,1085750286.36,383,1430550
W31P4Q09A0016,1085675321.57,1878,1430550
GS00Q14OADU125,1082506619.80,485,1430550
SPE8EJ20D0013,1081524041.99,644,1430550
FA807514D0025,1080582987.91,2204,1430550
FA850407D0001,1079459019.05,662,1430550
HHSN316201200050W,1079238332.53,786,1430550
W58RGZ13D0048,1077658750.53,1322,1430550
F3365798D0019,1077622329.04,35,1430550
HSSCHQ04D00096,1076910259.77,563,1430550
DAAB0702DP001,1073883065.54,1412,1430550
FA881125DB002,1070683305.00,28,1430550
HQ085622D0001,1070535893.68,194,1430550
N0038319DU501,1070086779.81,40,1430550
GS00T99ALD0008,1069321015.92,28,1430550
GS00Q09BGD0013,1067789695.39,1163,1430550
HHSO100200800072I,1066944711.57,23,1430550
70B01C26D00000003,1065873730.00,5,1430550
W15P7T19D0157,1065805145.77,792,1430550
HQ003419D0006,1065365109.59,266,1430550
FA861718D6219,1063370872.35,167,1430550
GS23F9796H,1062997027.40,2709,1430550
GS00Q09BGD0049,1062917207.20,141,1430550
F3360096D0057,1059476984.00,299,1430550
NNG15SC03B,1059431104.27,2587,1430550
W81XWH1590001,1058889635.16,699,1430550
W15P7T06DE401,1057136598.88,1551,1430550
GS35F0629R,1055834287.10,448,1430550
W52P1J19D0075,1054440111.24,129,1430550
SPE8EJ19D0003,1052957310.35,3684,1430550
SPM30012D3572,1048431214.84,23551,1430550
GS35F4522G,1044990922.71,2952,1430550
HSFE7017D0014,1044132705.70,518,1430550
2031ZA21D00002,1044043071.16,208,1430550
HHSM500200700015I,1044025525.80,278,1430550
FA869021D1009,1043169400.52,189,1430550
36C10X19D0008,1043039312.18,47,1430550
VA797H17D0022,1042875046.53,5685,1430550
W15P7T06DC002,1038426625.41,1668,1430550
DAAH0187CA025,1033693000.00,63,1430550
N0017819D8498,1032240058.05,443,1430550
GS23F0025K,1032217916.92,3088,1430550
GS35F4594G,1031715833.49,2754,1430550
F4261099D0006,1030925454.35,856,1430550
GS23F0037K,1027032441.42,99,1430550
GS06F0594Z,1024510401.59,492,1430550
SPE2DX22D0069,1015324904.54,8566,1430550
15F06719D0003691,1015011811.27,66,1430550
DOC50PAPT1500003,1014312181.29,99,1430550
SPE4AX16D9408,1013788946.18,147,1430550
SPE8EJ21D0026,1013357693.40,3172,1430550
N0002498D8124,1013295672.17,1827,1430550
SLMAQM04C0033,1013117642.42,432,1430550
VA11816D1001,1012691343.61,187,1430550
DAAJ0982CA326,1012363000.00,52,1430550
W52P1J17D0043,1011808264.86,244,1430550
SPE60221D0488,1009988869.40,164,1430550
N0001975C0424,1009297000.00,71,1430550
FA877104D0009,1007209903.05,3261,1430550
VA79113D0019,1003375309.59,19,1430550
W15P7T17D0100,1002800450.50,655,1430550
GS35F0823M,1002625698.09,2285,1430550
NNG15SD31B,1001890406.86,932,1430550
GS00Q14OADU401,1001853359.89,108,1430550
GS35F0045K,999867487.69,3489,1430550
HQ085121D0001,999166386.11,902,1430550
N0003922D0070,997955345.04,534,1430550
GS23F8127H,997555203.51,2376,1430550
AID306I000600517,996184636.03,186,1430550
HQ014718D0011,994834845.55,124,1430550
N0001985C0250,993293000.00,57,1430550
FA807518D0006,993187168.21,611,1430550
GS00Q09BGD0037,990763624.56,564,1430550
SAQMMA10D0098,990186364.87,147,1430550
F3365783C2001,989397000.00,42,1430550
SPM8EJ09D0028,989023112.78,4334,1430550
N0038317DBG01,988424761.49,29,1430550
GS00Q14OADU109,986599642.93,299,1430550
TIRNO17D00004,984976874.62,526,1430550
F3365798D0018,984208388.52,246,1430550
GS00Q14OADS619,983870565.86,997,1430550
HSTS0108DHRM010,982330388.74,492,1430550
FA862006G4003,981682039.92,697,1430550
GS35F0343J,981142732.05,2592,1430550
SAQMMA16D0048,979758569.89,167,1430550
